,Global_Sales
14922,0.03
4401,0.44
11529,0.08
11753,0.08
4693,0.41
9753,0.12
2334,0.89
6208,0.28
11537,0.08
1547,1.27
9628,0.13
10509,0.1
3886,0.51
3532,0.57
1655,1.21
13791,0.04
3325,0.6
5157,0.36
9815,0.12
6225,0.28
353,3.61
6350,0.27
8413,0.17
10528,0.1
9514,0.13
8968,0.15
9430,0.13
4602,0.42
5814,0.31
12484,0.06
11906,0.07
2718,0.75
2270,0.91
13792,0.04
14477,0.03
15284,0.02
10662,0.1
8063,0.18
4105,0.48
7765,0.19
7882,0.19
1853,1.1
3090,0.65
4721,0.41
9258,0.14
16432,0.01
9899,0.12
9629,0.13
7540,0.2
1373,1.41
10513,0.1
7202,0.22
930,1.86
12099,0.07
14659,0.03
8694,0.16
15227,0.02
13075,0.05
9394,0.13
2281,0.91
13215,0.05
10689,0.1
7861,0.19
6668,0.25
7507,0.2
14351,0.03
16120,0.01
6151,0.28
16128,0.01
7181,0.22
13339,0.05
4929,0.39
7093,0.23
13751,0.04
10687,0.1
14537,0.03
6385,0.27
2435,0.85
6942,0.23
8542,0.16
14957,0.03
2485,0.83
2760,0.74
4026,0.49
16181,0.01
5239,0.36
14393,0.03
5464,0.33
14002,0.04
8735,0.15
2626,0.78
9957,0.12
16687,0.01
7360,0.21
10364,0.11
14386,0.03
10691,0.1
9494,0.13
14189,0.03
168,5.45
13866,0.04
4816,0.4
1011,1.75
15101,0.02
14200,0.03
9232,0.14
11860,0.07
6311,0.27
5337,0.35
9102,0.14
11386,0.08
12018,0.07
1236,1.52
5871,0.3
12488,0.06
2099,0.98
12744,0.06
14,21.81
15786,0.02
682,2.32
4040,0.49
3107,0.65
3233,0.62
8810,0.15
8072,0.18
10530,0.1
3073,0.66
10862,0.09
2788,0.73
5040,0.38
12568,0.06
6526,0.26
4028,0.49
14510,0.03
12849,0.06
10092,0.11
15331,0.02
4254,0.46
5800,0.31
10032,0.11
15725,0.02
608,2.53
2388,0.87
12134,0.07
4209,0.46
1659,1.21
13141,0.05
7342,0.21
5020,0.38
8910,0.15
7182,0.22
7254,0.22
4768,0.4
1061,1.69
6734,0.25
15316,0.02
11766,0.07
487,2.94
4862,0.39
1766,1.15
8969,0.15
4881,0.39
1889,1.09
5561,0.32
6903,0.24
8573,0.16
8303,0.17
4029,0.49
8354,0.17
3509,0.57
12904,0.05
8422,0.17
8165,0.18
8121,0.18
4338,0.45
9559,0.13
4488,0.43
1402,1.38
4230,0.46
1078,1.68
3025,0.67
9289,0.14
5864,0.3
8204,0.17
286,4.11
13487,0.05
2140,0.96
8441,0.17
15967,0.02
10260,0.11
3570,0.56
12308,0.06
4353,0.45
2271,0.91
15843,0.02
5297,0.35
5331,0.35
16136,0.01
2450,0.85
12025,0.07
4894,0.39
8191,0.18
9904,0.12
12632,0.06
13147,0.05
6189,0.28
12434,0.06
11583,0.08
6676,0.25
16389,0.01
7767,0.19
16644,0.01
13021,0.05
11920,0.07
9321,0.13
13854,0.04
9727,0.12
10580,0.1
15377,0.02
1684,1.2
7278,0.22
6741,0.25
13765,0.04
6395,0.27
7187,0.22
9790,0.12
9526,0.13
6975,0.23
11946,0.07
5034,0.38
3070,0.66
11189,0.09
16670,0.01
12454,0.06
15457,0.02
16123,0.01
8699,0.16
11025,0.09
11075,0.09
6424,0.26
3274,0.61
10282,0.11
9950,0.12
15759,0.02
1944,1.06
13207,0.05
1575,1.26
439,3.13
13505,0.04
5032,0.38
15168,0.02
1748,1.16
1520,1.29
8,28.32
1617,1.23
491,2.93
4291,0.45
2177,0.95
2616,0.78
8994,0.14
6306,0.27
14116,0.04
13639,0.04
9129,0.14
5459,0.33
316,3.87
2126,0.97
14081,0.04
3745,0.53
7313,0.21
10369,0.11
1534,1.29
13497,0.04
9192,0.14
10306,0.11
10107,0.11
5762,0.31
16270,0.01
14798,0.03
9060,0.14
14845,0.03
15610,0.02
12005,0.07
1270,1.49
9636,0.13
10945,0.09
7773,0.19
13360,0.05
1022,1.74
4984,0.38
10984,0.09
11215,0.09
2583,0.79
7267,0.22
13764,0.04
10375,0.11
3411,0.59
6867,0.24
4638,0.42
5749,0.31
6735,0.25
836,2.04
16492,0.01
3844,0.52
14158,0.03
7293,0.22
3013,0.67
13607,0.04
10549,0.1
8188,0.18
1870,1.1
4747,0.41
4176,0.47
12284,0.06
6725,0.25
10710,0.1
6808,0.24
15412,0.02
1769,1.15
1328,1.44
2684,0.76
474,3.0
7273,0.22
5196,0.36
16247,0.01
3445,0.58
13712,0.04
6029,0.29
12141,0.07
850,2.01
16658,0.01
8077,0.18
9147,0.14
11752,0.08
2439,0.85
12591,0.06
4461,0.44
11471,0.08
4915,0.39
3035,0.66
15854,0.02
2589,0.79
13995,0.04
3576,0.56
11217,0.09
6095,0.28
2805,0.73
12646,0.06
2993,0.68
10784,0.1
6325,0.27
2859,0.72
5916,0.3
10027,0.11
9366,0.13
13381,0.05
15082,0.02
